item_id,total_visits,day,total_in_day
MLA746509501,8424,2020-07-31,358
MLA746509501,8424,2020-08-01,253
MLA746509501,8424,2020-08-02,335
MLA746509501,8424,2020-08-03,430
MLA746509501,8424,2020-08-04,403
MLA746509501,8424,2020-08-05,378
MLA746509501,8424,2020-08-06,357
MLA746509501,8424,2020-08-07,300
MLA746509501,8424,2020-08-08,269
MLA746509501,8424,2020-08-09,315
MLA746509501,8424,2020-08-10,373
MLA746509501,8424,2020-08-11,461
MLA746509501,8424,2020-08-12,492
MLA746509501,8424,2020-08-13,408
MLA746509501,8424,2020-08-14,339
MLA746509501,8424,2020-08-15,271
MLA746509501,8424,2020-08-16,335
MLA746509501,8424,2020-08-17,298
MLA746509501,8424,2020-08-18,271
MLA746509501,8424,2020-08-19,212
MLA746509501,8424,2020-08-20,192
MLA746509501,8424,2020-08-21,179
MLA746509501,8424,2020-08-22,129
MLA746509501,8424,2020-08-23,219
MLA746509501,8424,2020-08-24,237
MLA746509501,8424,2020-08-25,182
MLA746509501,8424,2020-08-26,96
MLA746509501,8424,2020-08-27,90
MLA746509501,8424,2020-08-28,99
MLA746509501,8424,2020-08-29,143
MLA868448532,2799,2020-07-31,10
MLA868448532,2799,2020-08-01,4
MLA868448532,2799,2020-08-02,43
MLA868448532,2799,2020-08-03,490
MLA868448532,2799,2020-08-04,612
MLA868448532,2799,2020-08-05,297
MLA868448532,2799,2020-08-06,283
MLA868448532,2799,2020-08-07,27
MLA868448532,2799,2020-08-08,16
MLA868448532,2799,2020-08-09,18
MLA868448532,2799,2020-08-10,14
MLA868448532,2799,2020-08-11,277
MLA868448532,2799,2020-08-12,22
MLA868448532,2799,2020-08-13,7
MLA868448532,2799,2020-08-14,8
MLA868448532,2799,2020-08-15,6
MLA868448532,2799,2020-08-16,4
MLA868448532,2799,2020-08-17,3
MLA868448532,2799,2020-08-18,3
MLA868448532,2799,2020-08-19,11
MLA868448532,2799,2020-08-20,0
MLA868448532,2799,2020-08-21,7
MLA868448532,2799,2020-08-22,2
MLA868448532,2799,2020-08-23,2
MLA868448532,2799,2020-08-24,97
MLA868448532,2799,2020-08-25,157
MLA868448532,2799,2020-08-26,67
MLA868448532,2799,2020-08-27,85
MLA868448532,2799,2020-08-28,129
MLA868448532,2799,2020-08-29,98
MLA747593028,8688,2020-07-31,7
MLA747593028,8688,2020-08-01,0
MLA747593028,8688,2020-08-02,3
MLA747593028,8688,2020-08-03,0
MLA747593028,8688,2020-08-04,148
MLA747593028,8688,2020-08-05,372
MLA747593028,8688,2020-08-06,394
MLA747593028,8688,2020-08-07,364
MLA747593028,8688,2020-08-08,324
MLA747593028,8688,2020-08-09,386
MLA747593028,8688,2020-08-10,478
MLA747593028,8688,2020-08-11,522
MLA747593028,8688,2020-08-12,567
MLA747593028,8688,2020-08-13,541
MLA747593028,8688,2020-08-14,457
MLA747593028,8688,2020-08-15,341
MLA747593028,8688,2020-08-16,363
MLA747593028,8688,2020-08-17,374
MLA747593028,8688,2020-08-18,386
MLA747593028,8688,2020-08-19,322
MLA747593028,8688,2020-08-20,323
MLA747593028,8688,2020-08-21,250
MLA747593028,8688,2020-08-22,228
MLA747593028,8688,2020-08-23,264
MLA747593028,8688,2020-08-24,289
MLA747593028,8688,2020-08-25,288
MLA747593028,8688,2020-08-26,157
MLA747593028,8688,2020-08-27,139
MLA747593028,8688,2020-08-28,206
MLA747593028,8688,2020-08-29,195
MLA721141246,131,2020-07-31,0
MLA721141246,131,2020-08-01,0
MLA721141246,131,2020-08-02,0
MLA721141246,131,2020-08-03,0
MLA721141246,131,2020-08-04,0
MLA721141246,131,2020-08-05,0
MLA721141246,131,2020-08-06,0
MLA721141246,131,2020-08-07,0
MLA721141246,131,2020-08-08,0
MLA721141246,131,2020-08-09,0
MLA721141246,131,2020-08-10,0
MLA721141246,131,2020-08-11,0
MLA721141246,131,2020-08-12,0
MLA721141246,131,2020-08-13,0
MLA721141246,131,2020-08-14,0
MLA721141246,131,2020-08-15,0
MLA721141246,131,2020-08-16,2
MLA721141246,131,2020-08-17,0
MLA721141246,131,2020-08-18,0
MLA721141246,131,2020-08-19,0
MLA721141246,131,2020-08-20,0
MLA721141246,131,2020-08-21,0
MLA721141246,131,2020-08-22,0
MLA721141246,131,2020-08-23,0
MLA721141246,131,2020-08-24,0
MLA721141246,131,2020-08-25,0
MLA721141246,131,2020-08-26,0
MLA721141246,131,2020-08-27,6
MLA721141246,131,2020-08-28,59
MLA721141246,131,2020-08-29,64
MLA763380385,193,2020-07-31,8
MLA763380385,193,2020-08-01,2
MLA763380385,193,2020-08-02,4
MLA763380385,193,2020-08-03,2
MLA763380385,193,2020-08-04,6
MLA763380385,193,2020-08-05,3
MLA763380385,193,2020-08-06,0
MLA763380385,193,2020-08-07,2
MLA763380385,193,2020-08-08,0
MLA763380385,193,2020-08-09,0
MLA763380385,193,2020-08-10,0
MLA763380385,193,2020-08-11,2
MLA763380385,193,2020-08-12,3
MLA763380385,193,2020-08-13,3
MLA763380385,193,2020-08-14,0
MLA763380385,193,2020-08-15,0
MLA763380385,193,2020-08-16,0
MLA763380385,193,2020-08-17,3
MLA763380385,193,2020-08-18,0
MLA763380385,193,2020-08-19,0
MLA763380385,193,2020-08-20,3
MLA763380385,193,2020-08-21,9
MLA763380385,193,2020-08-22,0
MLA763380385,193,2020-08-23,13
MLA763380385,193,2020-08-24,21
MLA763380385,193,2020-08-25,11
MLA763380385,193,2020-08-26,6
MLA763380385,193,2020-08-27,8
MLA763380385,193,2020-08-28,18
MLA763380385,193,2020-08-29,66
MLA758168724,74,2020-07-31,0
MLA758168724,74,2020-08-01,0
MLA758168724,74,2020-08-02,2
MLA758168724,74,2020-08-03,0
MLA758168724,74,2020-08-04,0
MLA758168724,74,2020-08-05,0
MLA758168724,74,2020-08-06,0
MLA758168724,74,2020-08-07,0
MLA758168724,74,2020-08-08,0
MLA758168724,74,2020-08-09,0
MLA758168724,74,2020-08-10,0
MLA758168724,74,2020-08-11,0
MLA758168724,74,2020-08-12,0
MLA758168724,74,2020-08-13,0
MLA758168724,74,2020-08-14,0
MLA758168724,74,2020-08-15,0
MLA758168724,74,2020-08-16,0
MLA758168724,74,2020-08-17,0
MLA758168724,74,2020-08-18,0
MLA758168724,74,2020-08-19,0
MLA758168724,74,2020-08-20,0
MLA758168724,74,2020-08-21,0
MLA758168724,74,2020-08-22,0
MLA758168724,74,2020-08-23,0
MLA758168724,74,2020-08-24,0
MLA758168724,74,2020-08-25,0
MLA758168724,74,2020-08-26,0
MLA758168724,74,2020-08-27,17
MLA758168724,74,2020-08-28,30
MLA758168724,74,2020-08-29,25
MLA829306982,3201,2020-07-31,197
MLA829306982,3201,2020-08-01,174
MLA829306982,3201,2020-08-02,168
MLA829306982,3201,2020-08-03,185
MLA829306982,3201,2020-08-04,180
MLA829306982,3201,2020-08-05,172
MLA829306982,3201,2020-08-06,146
MLA829306982,3201,2020-08-07,107
MLA829306982,3201,2020-08-08,90
MLA829306982,3201,2020-08-09,121
MLA829306982,3201,2020-08-10,127
MLA829306982,3201,2020-08-11,104
MLA829306982,3201,2020-08-12,170
MLA829306982,3201,2020-08-13,143
MLA829306982,3201,2020-08-14,88
MLA829306982,3201,2020-08-15,92
MLA829306982,3201,2020-08-16,78
MLA829306982,3201,2020-08-17,105
MLA829306982,3201,2020-08-18,51
MLA829306982,3201,2020-08-19,68
MLA829306982,3201,2020-08-20,73
MLA829306982,3201,2020-08-21,62
MLA829306982,3201,2020-08-22,77
MLA829306982,3201,2020-08-23,62
MLA829306982,3201,2020-08-24,67
MLA829306982,3201,2020-08-25,74
MLA829306982,3201,2020-08-26,42
MLA829306982,3201,2020-08-27,50
MLA829306982,3201,2020-08-28,66
MLA829306982,3201,2020-08-29,62
MLA860966498,1596,2020-07-31,96
MLA860966498,1596,2020-08-01,73
MLA860966498,1596,2020-08-02,81
MLA860966498,1596,2020-08-03,73
MLA860966498,1596,2020-08-04,90
MLA860966498,1596,2020-08-05,72
MLA860966498,1596,2020-08-06,57
MLA860966498,1596,2020-08-07,80
MLA860966498,1596,2020-08-08,81
MLA860966498,1596,2020-08-09,81
MLA860966498,1596,2020-08-10,75
MLA860966498,1596,2020-08-11,72
MLA860966498,1596,2020-08-12,39
MLA860966498,1596,2020-08-13,47
MLA860966498,1596,2020-08-14,42
MLA860966498,1596,2020-08-15,26
MLA860966498,1596,2020-08-16,46
MLA860966498,1596,2020-08-17,49
MLA860966498,1596,2020-08-18,56
MLA860966498,1596,2020-08-19,30
MLA860966498,1596,2020-08-20,71
MLA860966498,1596,2020-08-21,35
MLA860966498,1596,2020-08-22,39
MLA860966498,1596,2020-08-23,21
MLA860966498,1596,2020-08-24,37
MLA860966498,1596,2020-08-25,59
MLA860966498,1596,2020-08-26,28
MLA860966498,1596,2020-08-27,33
MLA860966498,1596,2020-08-28,0
MLA860966498,1596,2020-08-29,7
MLA835872692,939,2020-07-31,0
MLA835872692,939,2020-08-01,0
MLA835872692,939,2020-08-02,0
MLA835872692,939,2020-08-03,8
MLA835872692,939,2020-08-04,24
MLA835872692,939,2020-08-05,2
MLA835872692,939,2020-08-06,0
MLA835872692,939,2020-08-07,0
MLA835872692,939,2020-08-08,0
MLA835872692,939,2020-08-09,0
MLA835872692,939,2020-08-10,2
MLA835872692,939,2020-08-11,26
MLA835872692,939,2020-08-12,51
MLA835872692,939,2020-08-13,80
MLA835872692,939,2020-08-14,20
MLA835872692,939,2020-08-15,25
MLA835872692,939,2020-08-16,25
MLA835872692,939,2020-08-17,67
MLA835872692,939,2020-08-18,57
MLA835872692,939,2020-08-19,59
MLA835872692,939,2020-08-20,65
MLA835872692,939,2020-08-21,46
MLA835872692,939,2020-08-22,21
MLA835872692,939,2020-08-23,51
MLA835872692,939,2020-08-24,57
MLA835872692,939,2020-08-25,96
MLA835872692,939,2020-08-26,30
MLA835872692,939,2020-08-27,54
MLA835872692,939,2020-08-28,43
MLA835872692,939,2020-08-29,30
MLA868863438,740,2020-07-31,14
MLA868863438,740,2020-08-01,14
MLA868863438,740,2020-08-02,27
MLA868863438,740,2020-08-03,21
MLA868863438,740,2020-08-04,22
MLA868863438,740,2020-08-05,35
MLA868863438,740,2020-08-06,15
MLA868863438,740,2020-08-07,0
MLA868863438,740,2020-08-08,0
MLA868863438,740,2020-08-09,0
MLA868863438,740,2020-08-10,25
MLA868863438,740,2020-08-11,93
MLA868863438,740,2020-08-12,85
MLA868863438,740,2020-08-13,64
MLA868863438,740,2020-08-14,66
MLA868863438,740,2020-08-15,47
MLA868863438,740,2020-08-16,62
MLA868863438,740,2020-08-17,32
MLA868863438,740,2020-08-18,2
