id,site_id,title,seller_id,category_id,price,initial_quantity,available_quantity,sold_quantity,buying_mode,condition,pictures_quantity,accepts_mercadopago,domain_id,attributes_quantity
MLA746509501,MLA,Google Home Mini Parlante Original Español Ok Google Gris,91988078,MLA409415,5499.0,142,1,50,buy_it_now,new,6,True,MLA-SMART_SPEAKERS,14
MLA868448532,MLA,Google Home Mini Asistente Virtual,557639592,MLA409415,3890.0,43,1,25,buy_it_now,new,3,True,MLA-SMART_SPEAKERS,13
MLA747593028,MLA,Google Home Mini Asistente Virtual En Español Con Fuente,114495635,MLA409415,4870.0,926,2,450,buy_it_now,new,7,True,MLA-SMART_SPEAKERS,14
MLA721141246,MLA,Google Home Parlante Manos Libres Nuevo Original 2019,309453406,MLA409415,10999.0,1031,500,25,buy_it_now,new,9,True,MLA-SMART_SPEAKERS,16
MLA763380385,MLA,Google Home Mini Asistente Virtual Español Youtube Spotify,309453406,MLA409415,4499.0,256,1,150,buy_it_now,new,18,True,MLA-SMART_SPEAKERS,13
MLA758168724,MLA,Parlante Inteligente Google Home Inteligencia Artificial,284824585,MLA409415,10999.0,1004,500,5,buy_it_now,new,9,True,MLA-SMART_SPEAKERS,13
MLA829306982,MLA,Google Home Mini Asistente Virtual,139052045,MLA409415,5599.0,276,2,200,buy_it_now,new,8,True,MLA-SMART_SPEAKERS,14
MLA860966498,MLA,Soporte Stand Estilo Reloj Para Google Home Mini Negro,161008662,MLA409415,5189.0,2,1,0,buy_it_now,new,10,True,MLA-SMART_SPEAKERS,14
MLA835872692,MLA,Google Home Mini Asistente Virtual Español Youtube Spotify,309453406,MLA409415,5699.05,1046,500,30,buy_it_now,new,17,True,MLA-SMART_SPEAKERS,13
MLA868863438,MLA,Google Home Mini Asistente Virtual + Chromecast 3 Smart Tv K,153269826,MLA409415,10999.0,3,1,2,buy_it_now,new,10,True,MLA-SMART_SPEAKERS,13
MLA874517599,MLA,Google Home Mini Asistente Virtual En Español C/ Fuente Orig,84248889,MLA409415,4870.0,25,1,3,buy_it_now,new,3,True,MLA-SMART_SPEAKERS,13
MLA874518149,MLA,Google Home Mini Asistente Virtual En Español C/ Fuente Orig,84248889,MLA409415,5999.0,25,1,2,buy_it_now,new,3,True,MLA-SMART_SPEAKERS,13
MLA872009522,MLA,Google Home Parlante Con Asistente Virtual,39378427,MLA409415,21500.0,1,1,0,buy_it_now,used,6,True,MLA-SMART_SPEAKERS,13
MLA867691178,MLA,Google Home Max Cuotas,195280543,MLA409415,90000.0,1,1,0,buy_it_now,used,6,True,MLA-SMART_SPEAKERS,13
MLA855019540,MLA,Google Home Mini Asistente Virtual Spotify Netflix Youtube,199340505,MLA409415,4699.0,11,2,7,buy_it_now,new,4,True,MLA-SMART_SPEAKERS,13
MLA863056590,MLA,Google Home Parlante Inteligente Con Google Assistant,51644306,MLA409415,22000.0,1,1,0,buy_it_now,used,2,True,MLA-SMART_SPEAKERS,13
MLA694840044,MLA,Google Home 2017 Inteligencia Artificial Parlante Nuevo,119914491,MLA409415,10999.0,1030,500,25,buy_it_now,new,10,True,MLA-SMART_SPEAKERS,14
MLA850868000,MLA,Asistente Virtual Google Home Mini,540797376,MLA409415,4585.0,29,1,10,buy_it_now,new,20,True,MLA-SMART_SPEAKERS,13
MLA729305396,MLA,Google Home Mini Asistente Virtual Manos Libres Cuotas Om,3681986,MLA409415,4300.0,19,2,10,buy_it_now,new,12,True,MLA-SMART_SPEAKERS,13
MLA866136495,MLA,Google Home Mini Asistente Virtual Spotify Youtube Parlante,540797376,MLA409415,5273.0,24,1,6,buy_it_now,new,20,True,MLA-SMART_SPEAKERS,13
MLA873210691,MLA,Google Home Mini Asistente Virtual En Español Con Fuente,9316603,MLA409415,4850.0,98,50,2,buy_it_now,new,8,True,MLA-SMART_SPEAKERS,13
MLA862820574,MLA,Asistente Virtual Google Home Mini Casio Shop Oficial,190176168,MLA409415,4699.0,4,1,3,buy_it_now,new,2,True,MLA-SMART_SPEAKERS,13
MLA869347577,MLA,Google Home Mini Original Asistente Virtual,48785230,MLA409415,4499.0,5,1,3,buy_it_now,new,4,True,MLA-SMART_SPEAKERS,13
MLA875206222,MLA,Google Home Mini Asistente Virtual Spotify Netflix Youtube,199340505,MLA409415,5900.0,7,2,0,buy_it_now,new,4,True,MLA-SMART_SPEAKERS,13
MLA763380836,MLA,Google Home Mini Asistente Virtual Caja Sellada En Español,119914491,MLA409415,4499.0,1092,500,55,buy_it_now,new,17,True,MLA-SMART_SPEAKERS,13
