seller_id,total_visits,day,total_in_day
91988078,932765,2020-07-31,41720
91988078,932765,2020-08-01,31217
91988078,932765,2020-08-02,30380
91988078,932765,2020-08-03,34533
91988078,932765,2020-08-04,29593
91988078,932765,2020-08-05,32770
91988078,932765,2020-08-06,28422
91988078,932765,2020-08-07,27165
91988078,932765,2020-08-08,20658
91988078,932765,2020-08-09,26550
91988078,932765,2020-08-10,38475
91988078,932765,2020-08-11,46989
91988078,932765,2020-08-12,38080
91988078,932765,2020-08-13,42797
91988078,932765,2020-08-14,33428
91988078,932765,2020-08-15,23849
91988078,932765,2020-08-16,23139
91988078,932765,2020-08-17,29661
91988078,932765,2020-08-18,34705
91988078,932765,2020-08-19,29560
91988078,932765,2020-08-20,34291
91988078,932765,2020-08-21,37473
91988078,932765,2020-08-22,26372
91988078,932765,2020-08-23,25808
91988078,932765,2020-08-24,39871
91988078,932765,2020-08-25,44364
91988078,932765,2020-08-26,22047
91988078,932765,2020-08-27,21075
91988078,932765,2020-08-28,18592
91988078,932765,2020-08-29,19181
557639592,43347,2020-07-31,272
557639592,43347,2020-08-01,844
557639592,43347,2020-08-02,2747
557639592,43347,2020-08-03,1765
557639592,43347,2020-08-04,1389
557639592,43347,2020-08-05,1142
557639592,43347,2020-08-06,1033
557639592,43347,2020-08-07,603
557639592,43347,2020-08-08,617
557639592,43347,2020-08-09,778
557639592,43347,2020-08-10,807
557639592,43347,2020-08-11,1146
557639592,43347,2020-08-12,471
557639592,43347,2020-08-13,2092
557639592,43347,2020-08-14,6656
557639592,43347,2020-08-15,2748
557639592,43347,2020-08-16,1332
557639592,43347,2020-08-17,496
557639592,43347,2020-08-18,3278
557639592,43347,2020-08-19,1258
557639592,43347,2020-08-20,1716
557639592,43347,2020-08-21,1167
557639592,43347,2020-08-22,576
557639592,43347,2020-08-23,1844
557639592,43347,2020-08-24,968
557639592,43347,2020-08-25,650
557639592,43347,2020-08-26,393
557639592,43347,2020-08-27,2313
557639592,43347,2020-08-28,1587
557639592,43347,2020-08-29,659
114495635,131907,2020-07-31,4387
114495635,131907,2020-08-01,3410
114495635,131907,2020-08-02,3497
114495635,131907,2020-08-03,4957
114495635,131907,2020-08-04,2815
114495635,131907,2020-08-05,2650
114495635,131907,2020-08-06,3053
114495635,131907,2020-08-07,4427
114495635,131907,2020-08-08,5722
114495635,131907,2020-08-09,5852
114495635,131907,2020-08-10,6747
114495635,131907,2020-08-11,6288
114495635,131907,2020-08-12,6494
114495635,131907,2020-08-13,6695
114495635,131907,2020-08-14,5447
114495635,131907,2020-08-15,5387
114495635,131907,2020-08-16,4473
114495635,131907,2020-08-17,5157
114495635,131907,2020-08-18,5925
114495635,131907,2020-08-19,3635
114495635,131907,2020-08-20,3527
114495635,131907,2020-08-21,3772
114495635,131907,2020-08-22,2893
114495635,131907,2020-08-23,3666
114495635,131907,2020-08-24,4888
114495635,131907,2020-08-25,6828
114495635,131907,2020-08-26,2758
114495635,131907,2020-08-27,2823
114495635,131907,2020-08-28,2148
114495635,131907,2020-08-29,1586
309453406,1190481,2020-07-31,63660
309453406,1190481,2020-08-01,52961
309453406,1190481,2020-08-02,69824
309453406,1190481,2020-08-03,62430
309453406,1190481,2020-08-04,63183
309453406,1190481,2020-08-05,52990
309453406,1190481,2020-08-06,52160
309453406,1190481,2020-08-07,40264
309453406,1190481,2020-08-08,36579
309453406,1190481,2020-08-09,50107
309453406,1190481,2020-08-10,48991
309453406,1190481,2020-08-11,59529
309453406,1190481,2020-08-12,52961
309453406,1190481,2020-08-13,46918
309453406,1190481,2020-08-14,35186
309453406,1190481,2020-08-15,26489
309453406,1190481,2020-08-16,24756
309453406,1190481,2020-08-17,31571
309453406,1190481,2020-08-18,37923
309453406,1190481,2020-08-19,31295
309453406,1190481,2020-08-20,29003
309453406,1190481,2020-08-21,29889
309453406,1190481,2020-08-22,24853
309453406,1190481,2020-08-23,25372
309453406,1190481,2020-08-24,31502
309453406,1190481,2020-08-25,41205
309453406,1190481,2020-08-26,18431
309453406,1190481,2020-08-27,19510
309453406,1190481,2020-08-28,14926
309453406,1190481,2020-08-29,16013
284824585,735593,2020-07-31,30517
284824585,735593,2020-08-01,21654
284824585,735593,2020-08-02,28383
284824585,735593,2020-08-03,26043
284824585,735593,2020-08-04,23361
284824585,735593,2020-08-05,23305
284824585,735593,2020-08-06,28461
284824585,735593,2020-08-07,28696
284824585,735593,2020-08-08,24545
284824585,735593,2020-08-09,31727
284824585,735593,2020-08-10,44254
284824585,735593,2020-08-11,48029
284824585,735593,2020-08-12,40319
284824585,735593,2020-08-13,35706
284824585,735593,2020-08-14,23136
284824585,735593,2020-08-15,18584
284824585,735593,2020-08-16,15208
284824585,735593,2020-08-17,19494
284824585,735593,2020-08-18,23771
284824585,735593,2020-08-19,22043
284824585,735593,2020-08-20,20618
284824585,735593,2020-08-21,16501
284824585,735593,2020-08-22,14044
284824585,735593,2020-08-23,16360
284824585,735593,2020-08-24,23600
284824585,735593,2020-08-25,29834
284824585,735593,2020-08-26,14279
284824585,735593,2020-08-27,18578
284824585,735593,2020-08-28,12605
284824585,735593,2020-08-29,11938
139052045,67515,2020-07-31,5748
139052045,67515,2020-08-01,5468
139052045,67515,2020-08-02,6502
139052045,67515,2020-08-03,4722
139052045,67515,2020-08-04,3061
139052045,67515,2020-08-05,2754
139052045,67515,2020-08-06,2062
139052045,67515,2020-08-07,1671
139052045,67515,2020-08-08,1652
139052045,67515,2020-08-09,1800
139052045,67515,2020-08-10,1967
139052045,67515,2020-08-11,2100
139052045,67515,2020-08-12,2012
139052045,67515,2020-08-13,1909
139052045,67515,2020-08-14,1926
139052045,67515,2020-08-15,1705
139052045,67515,2020-08-16,1642
139052045,67515,2020-08-17,1444
139052045,67515,2020-08-18,1618
139052045,67515,2020-08-19,1789
139052045,67515,2020-08-20,1700
139052045,67515,2020-08-21,1666
139052045,67515,2020-08-22,1493
139052045,67515,2020-08-23,1416
139052045,67515,2020-08-24,1829
139052045,67515,2020-08-25,1713
139052045,67515,2020-08-26,843
139052045,67515,2020-08-27,1092
139052045,67515,2020-08-28,1144
139052045,67515,2020-08-29,1067
161008662,3610999,2020-07-31,130547
161008662,3610999,2020-08-01,120430
161008662,3610999,2020-08-02,132695
161008662,3610999,2020-08-03,144511
161008662,3610999,2020-08-04,136226
161008662,3610999,2020-08-05,128020
161008662,3610999,2020-08-06,139185
161008662,3610999,2020-08-07,126261
161008662,3610999,2020-08-08,120566
161008662,3610999,2020-08-09,131903
161008662,3610999,2020-08-10,154465
161008662,3610999,2020-08-11,164118
161008662,3610999,2020-08-12,153619
161008662,3610999,2020-08-13,147032
161008662,3610999,2020-08-14,134883
161008662,3610999,2020-08-15,115828
161008662,3610999,2020-08-16,112531
161008662,3610999,2020-08-17,115591
161008662,3610999,2020-08-18,129113
161008662,3610999,2020-08-19,121576
161008662,3610999,2020-08-20,123472
161008662,3610999,2020-08-21,113616
161008662,3610999,2020-08-22,98310
161008662,3610999,2020-08-23,101597
161008662,3610999,2020-08-24,125880
161008662,3610999,2020-08-25,132809
161008662,3610999,2020-08-26,70443
161008662,3610999,2020-08-27,71223
161008662,3610999,2020-08-28,59906
161008662,3610999,2020-08-29,54643
153269826,201568,2020-07-31,7990
153269826,201568,2020-08-01,9005
153269826,201568,2020-08-02,8202
153269826,201568,2020-08-03,8299
153269826,201568,2020-08-04,8343
153269826,201568,2020-08-05,6386
153269826,201568,2020-08-06,6182
153269826,201568,2020-08-07,8369
153269826,201568,2020-08-08,9127
153269826,201568,2020-08-09,8577
153269826,201568,2020-08-10,9750
153269826,201568,2020-08-11,10540
153269826,201568,2020-08-12,10581
153269826,201568,2020-08-13,8879
153269826,201568,2020-08-14,8228
153269826,201568,2020-08-15,7715
153269826,201568,2020-08-16,8080
153269826,201568,2020-08-17,5500
153269826,201568,2020-08-18,5204
153269826,201568,2020-08-19,4396
153269826,201568,2020-08-20,4620
153269826,201568,2020-08-21,4901
153269826,201568,2020-08-22,4567
153269826,201568,2020-08-23,4607
153269826,201568,2020-08-24,6187
153269826,201568,2020-08-25,5208
153269826,201568,2020-08-26,2631
153269826,201568,2020-08-27,3185
153269826,201568,2020-08-28,2980
153269826,201568,2020-08-29,3329
84248889,44469,2020-07-31,1873
84248889,44469,2020-08-01,1528
84248889,44469,2020-08-02,1766
84248889,44469,2020-08-03,1909
84248889,44469,2020-08-04,1759
84248889,44469,2020-08-05,1779
84248889,44469,2020-08-06,1806
84248889,44469,2020-08-07,1575
84248889,44469,2020-08-08,1448
84248889,44469,2020-08-09,1581
84248889,44469,2020-08-10,1744
84248889,44469,2020-08-11,2281
84248889,44469,2020-08-12,2040
84248889,44469,2020-08-13,2192
84248889,44469,2020-08-14,1720
84248889,44469,2020-08-15,1398
84248889,44469,2020-08-16,1321
84248889,44469,2020-08-17,1354
84248889,44469,2020-08-18,1414
84248889,44469,2020-08-19,1501
84248889,44469,2020-08-20,1538
84248889,44469,2020-08-21,1232
84248889,44469,2020-08-22,1115
84248889,44469,2020-08-23,1108
84248889,44469,2020-08-24,1374
84248889,44469,2020-08-25,1328
84248889,44469,2020-08-26,646
84248889,44469,2020-08-27,847
84248889,44469,2020-08-28,661
84248889,44469,2020-08-29,631
39378427,2045,2020-07-31,0
39378427,2045,2020-08-01,0
39378427,2045,2020-08-02,0
39378427,2045,2020-08-03,0
39378427,2045,2020-08-04,0
39378427,2045,2020-08-05,0
39378427,2045,2020-08-06,125
39378427,2045,2020-08-07,94
39378427,2045,2020-08-08,78
39378427,2045,2020-08-09,27
39378427,2045,2020-08-10,191
39378427,2045,2020-08-11,119
39378427,2045,2020-08-12,226
39378427,2045,2020-08-13,112
39378427,2045,2020-08-14,66
39378427,2045,2020-08-15,56
39378427,2045,2020-08-16,56
39378427,2045,2020-08-17,65
39378427,2045,2020-08-18,49
39378427,2045,2020-08-19,67
39378427,2045,2020-08-20,78
39378427,2045,2020-08-21,78
39378427,2045,2020-08-22,72
39378427,2045,2020-08-23,59
39378427,2045,2020-08-24,92
39378427,2045,2020-08-25,82
39378427,2045,2020-08-26,65
39378427,2045,2020-08-27,61
39378427,2045,2020-08-28,81
39378427,2045,2020-08-29,46
195280543,1934,2020-07-31,77
195280543,1934,2020-08-01,88
195280543,1934,2020-08-02,86
195280543,1934,2020-08-03,134
195280543,1934,2020-08-04,79
195280543,1934,2020-08-05,53
195280543,1934,2020-08-06,68
195280543,1934,2020-08-07,51
195280543,1934,2020-08-08,47
195280543,1934,2020-08-09,63
195280543,1934,2020-08-10,65
195280543,1934,2020-08-11,93
195280543,1934,2020-08-12,53
195280543,1934,2020-08-13,28
195280543,1934,2020-08-14,68
195280543,1934,2020-08-15,21
195280543,1934,2020-08-16,48
195280543,1934,2020-08-17,39
195280543,1934,2020-08-18,23
195280543,1934,2020-08-19,41
195280543,1934,2020-08-20,29
195280543,1934,2020-08-21,44
195280543,1934,2020-08-22,23
195280543,1934,2020-08-23,69
195280543,1934,2020-08-24,69
195280543,1934,2020-08-25,87
195280543,1934,2020-08-26,49
195280543,1934,2020-08-27,118
195280543,1934,2020-08-28,118
195280543,1934,2020-08-29,103
199340505,7542,2020-07-31,124
199340505,7542,2020-08-01,100
199340505,7542,2020-08-02,88
199340505,7542,2020-08-03,139
199340505,7542,2020-08-04,95
199340505,7542,2020-08-05,66
199340505,7542,2020-08-06,91
199340505,7542,2020-08-07,68
199340505,7542,2020-08-08,65
199340505,7542,2020-08-09,85
199340505,7542,2020-08-10,117
199340505,7542,2020-08-11,89
199340505,7542,2020-08-12,113
199340505,7542,2020-08-13,81
199340505,7542,2020-08-14,110
199340505,7542,2020-08-15,216
199340505,7542,2020-08-16,305
199340505,7542,2020-08-17,453
199340505,7542,2020-08-18,553
199340505,7542,2020-08-19,479
199340505,7542,2020-08-20,512
199340505,7542,2020-08-21,408
199340505,7542,2020-08-22,296
199340505,7542,2020-08-23,357
199340505,7542,2020-08-24,579
199340505,7542,2020-08-25,449
199340505,7542,2020-08-26,330
199340505,7542,2020-08-27,496
199340505,7542,2020-08-28,370
199340505,7542,2020-08-29,308
51644306,1229,2020-07-31,76
51644306,1229,2020-08-01,92
51644306,1229,2020-08-02,111
51644306,1229,2020-08-03,91
51644306,1229,2020-08-04,76
51644306,1229,2020-08-05,49
51644306,1229,2020-08-06,50
51644306,1229,2020-08-07,48
51644306,1229,2020-08-08,29
51644306,1229,2020-08-09,38
51644306,1229,2020-08-10,29
51644306,1229,2020-08-11,40
51644306,1229,2020-08-12,49
51644306,1229,2020-08-13,35
51644306,1229,2020-08-14,37
51644306,1229,2020-08-15,18
51644306,1229,2020-08-16,29
51644306,1229,2020-08-17,47
51644306,1229,2020-08-18,26
51644306,1229,2020-08-19,23
51644306,1229,2020-08-20,40
51644306,1229,2020-08-21,23
51644306,1229,2020-08-22,28
51644306,1229,2020-08-23,33
51644306,1229,2020-08-24,20
51644306,1229,2020-08-25,29
51644306,1229,2020-08-26,12
51644306,1229,2020-08-27,23
51644306,1229,2020-08-28,11
51644306,1229,2020-08-29,17
119914491,639923,2020-07-31,23349
119914491,639923,2020-08-01,14483
119914491,639923,2020-08-02,14311
119914491,639923,2020-08-03,29346
119914491,639923,2020-08-04,21008
119914491,639923,2020-08-05,22329
119914491,639923,2020-08-06,21977
119914491,639923,2020-08-07,14474
119914491,639923,2020-08-08,23037
119914491,639923,2020-08-09,47088
119914491,639923,2020-08-10,37990
119914491,639923,2020-08-11,44746
119914491,639923,2020-08-12,37844
119914491,639923,2020-08-13,32670
119914491,639923,2020-08-14,23026
119914491,639923,2020-08-15,18147
119914491,639923,2020-08-16,16524
119914491,639923,2020-08-17,24017
119914491,639923,2020-08-18,27376
119914491,639923,2020-08-19,23388
119914491,639923,2020-08-20,18297
119914491,639923,2020-08-21,14015
119914491,639923,2020-08-22,11211
119914491,639923,2020-08-23,13833
119914491,639923,2020-08-24,15045
119914491,639923,2020-08-25,16554
119914491,639923,2020-08-26,8752
119914491,639923,2020-08-27,10410
119914491,639923,2020-08-28,9450
119914491,639923,2020-08-29,5226
540797376,54212,2020-07-31,817
540797376,54212,2020-08-01,807
540797376,54212,2020-08-02,958
540797376,54212,2020-08-03,1100
540797376,54212,2020-08-04,1483
540797376,54212,2020-08-05,1347
540797376,54212,2020-08-06,1375
540797376,54212,2020-08-07,1302
540797376,54212,2020-08-08,1297
540797376,54212,2020-08-09,1412
540797376,54212,2020-08-10,3476
540797376,54212,2020-08-11,5380
540797376,54212,2020-08-12,3666
540797376,54212,2020-08-13,4433
540797376,54212,2020-08-14,2842
540797376,54212,2020-08-15,1947
540797376,54212,2020-08-16,1969
540797376,54212,2020-08-17,2302
540797376,54212,2020-08-18,2267
540797376,54212,2020-08-19,2127
540797376,54212,2020-08-20,1829
540797376,54212,2020-08-21,977
540797376,54212,2020-08-22,795
540797376,54212,2020-08-23,840
540797376,54212,2020-08-24,1643
540797376,54212,2020-08-25,1856
540797376,54212,2020-08-26,1050
540797376,54212,2020-08-27,943
540797376,54212,2020-08-28,1102
540797376,54212,2020-08-29,870
3681986,40614,2020-07-31,759
3681986,40614,2020-08-01,2056
3681986,40614,2020-08-02,1593
3681986,40614,2020-08-03,1170
3681986,40614,2020-08-04,1347
3681986,40614,2020-08-05,1664
3681986,40614,2020-08-06,1580
3681986,40614,2020-08-07,863
3681986,40614,2020-08-08,806
3681986,40614,2020-08-09,856
3681986,40614,2020-08-10,1286
3681986,40614,2020-08-11,956
3681986,40614,2020-08-12,640
3681986,40614,2020-08-13,2865
3681986,40614,2020-08-14,687
3681986,40614,2020-08-15,1766
3681986,40614,2020-08-16,475
3681986,40614,2020-08-17,408
3681986,40614,2020-08-18,2114
3681986,40614,2020-08-19,1899
3681986,40614,2020-08-20,3176
3681986,40614,2020-08-21,1225
3681986,40614,2020-08-22,848
3681986,40614,2020-08-23,755
3681986,40614,2020-08-24,2310
3681986,40614,2020-08-25,3028
3681986,40614,2020-08-26,1482
3681986,40614,2020-08-27,1078
3681986,40614,2020-08-28,471
3681986,40614,2020-08-29,451
9316603,81479,2020-07-31,2157
9316603,81479,2020-08-01,1361
9316603,81479,2020-08-02,1403
9316603,81479,2020-08-03,2587
9316603,81479,2020-08-04,2732
9316603,81479,2020-08-05,2275
9316603,81479,2020-08-06,2896
9316603,81479,2020-08-07,3428
9316603,81479,2020-08-08,3318
9316603,81479,2020-08-09,3627
9316603,81479,2020-08-10,4103
9316603,81479,2020-08-11,5259
9316603,81479,2020-08-12,4809
9316603,81479,2020-08-13,2782
9316603,81479,2020-08-14,3622
9316603,81479,2020-08-15,3000
9316603,81479,2020-08-16,2695
9316603,81479,2020-08-17,2990
9316603,81479,2020-08-18,3231
9316603,81479,2020-08-19,3056
9316603,81479,2020-08-20,3235
9316603,81479,2020-08-21,2277
9316603,81479,2020-08-22,2171
9316603,81479,2020-08-23,1449
9316603,81479,2020-08-24,2259
