ORDEN,SKU,MARKETING,ACTUALIZACIONES,ACTUALIZADO,VENTAS_ACUMULADAS,PRICE,LANZAMIENTO,CANTIDAD,PRECIO_MIN,SD_PRECIO,VENTA_ALTA
7405,287003,D,2,1,497816,49.95,2002,83,31.78,21.02,0
2701,146431,D,12,1,1604078,148.8,2009,28,50.17,142.17,0
64477,3479827,S,2,1,197213,49.95,2015,81,0.0,28.99,0
71790,57111,S,3,1,24919,67.0,2006,63,19.99,37.99,0
67536,170147,S,2,1,1291848,99.95,2011,45,4.0,36.98,0
61934,51187,S,7,1,508240,160.95,2005,88,100.95,11.97,1
6645,266942,D,0,0,1369228,20.0,2004,42,83.19,15.93,1
1442,2558954,D,2,1,6446650,0.0,1990,19,102.99,8.97,0
14781,657639,D,1,0,1376317,135.0,2006,25,0.0,102.95,0
29774,1839708,D,5,1,1651486,150.0,2010,19,180.48,100.65,0
83455,612484,S,5,1,248375,74.94,2013,30,0.0,0.0,0
3466,804352,D,31,1,2360252,99.95,2007,21,68.8,364.97,0
57523,614310,S,0,0,64563,37.5,1993,93,45.22,13.9,0
31098,130111,D,1,0,663754,89.96,2003,42,143.8,49.92,0
54916,54614,S,5,1,1906863,49.95,2006,68,40.3,6.08,0
63902,655461,S,3,1,108381,45.0,2012,35,30.07,32.51,0
33240,2867298,D,0,0,1596553,25.0,2004,16,83.99,116.27,0
55323,52652,S,11,1,525625,252.95,2010,35,105.99,73.97,0
64308,176794,S,4,1,1667239,97.95,2000,65,109.8,5.46,0
78818,346198,S,1,0,582053,155.95,2006,22,0.0,51.54,0
5141,861975,D,7,1,188541,292.95,2014,50,41.14,111.68,1
20647,109719,D,5,1,1657730,18.48,2006,35,35.81,17.64,0
13700,57445,D,6,1,330870,126.67,2007,87,102.12,10.98,0
82742,892766,S,2,1,30808,39.95,2014,33,31.48,29.38,0
45152,533303,S,6,1,40194,163.0,2012,55,97.91,121.98,0
21421,181196,D,4,1,533065,84.0,1996,22,60.02,52.87,0
40026,611910,S,3,1,448383,46.0,2013,13,30.14,33.04,0
14652,891857,D,3,1,9115329,75.0,2007,11,81.85,54.13,0
7225,623358,D,10,1,30509,121.4,2012,65,56.5,53.88,0
6532,921184,D,0,0,138187,86.05,2007,70,26.9,16.36,0
51585,270678,S,8,1,228101,65.0,2010,85,51.94,31.99,0
23471,572739,D,1,0,1843516,141.95,1991,41,53.86,23.94,1
35393,111923,D,5,1,64882,83.99,2011,56,77.39,62.5,1
17328,246763,D,2,1,315782,55.95,2009,74,20.98,37.12,0
43695,634511,S,3,1,933486,139.24,2002,26,8.37,215.78,0
29836,54940,D,3,1,980395,44.95,2006,160,30.85,22.96,0
68505,762048,S,3,1,870711,21.99,2006,112,8.32,9.1,0
78840,536041,S,3,1,193329,30.99,2010,75,25.89,7.92,1
83687,618017,S,3,1,145299,166.2,2003,44,18.98,44.87,0
19915,227609,D,6,1,1344725,96.95,2006,31,73.94,36.73,0
25684,118976,D,1,0,2569027,81.2,2009,29,58.99,4.86,0
35527,2485952,D,3,1,615511,39.95,2005,22,0.0,63.58,0
